StationID,PeakValue
6814000,616
6814000,1510
6814000,1700
6814000,2020
6814000,2590
6814000,2750
6814000,2780
6814000,2850
6814000,3300
6814000,3500
6814000,3800
6814000,4090
6814000,4630
6814000,5370
6814000,8180
6814000,8870
6814000,9200
6814000,9820
6814000,9900
6814000,10500
6814000,10600
6814000,11500
6814000,11800
6814000,11800
6814000,13200
6814000,13300
6814000,14000
6814000,14200
6814000,20400
6814000,21400
6845000,65
6845000,320
6845000,327
6845000,355
6845000,360
6845000,588
6845000,658
6845000,704
6845000,748
6845000,888
6845000,944
6845000,1010
6846000,70
6846000,90
6846000,105
6846000,106
6846000,120
6846000,178
6846000,200
6846000,200
6846000,280
6846000,280
6846000,326
6846000,341
6846000,450
6846000,521
6846000,540
6846000,540
6846000,680
6846000,700
6846000,840
6846000,1000
6846000,1020
6846000,1100
6846000,1300
6846000,1400
6846000,2800
6846000,3800
6846500,39
6846500,116
6846500,139
6846500,175
6846500,187
6846500,235
6846500,236
6846500,244
6846500,262
6846500,263
6846500,274
6846500,298
6846500,324
6846500,330
6846500,381
6846500,406
6846500,434
6846500,448
6846500,480
6846500,540
6846500,546
6846500,569
6846500,594
6846500,888
6846500,985
6846500,1030
6846500,2030
6846500,2440
6846500,2830
6848500,14
6848500,64
6848500,118
6848500,207
6848500,226
6848500,279
6848500,288
6848500,351
6848500,424
6848500,451
6848500,454
6848500,488
6848500,504
6848500,506
6848500,508
6848500,561
6848500,624
6848500,708
6848500,810
6848500,849
6848500,1240
6848500,1310
6848500,1590
6848500,1670
6848500,1830
6848500,2740
6848500,2820
6848500,4490
6848500,4580
6848500,7030
6853800,378
6853800,388
6853800,419
6853800,604
6853800,742
6853800,832
6853800,992
6853800,1020
6853800,1160
6853800,1210
6853800,1220
6853800,1270
6853800,1400
6853800,1470
6853800,1490
6853800,1500
6853800,1570
6853800,1730
6853800,1920
6853800,2410
6853800,2420
6853800,2620
6853800,2630
6853800,3010
6853800,3900
6853800,4470
6853800,4630
6853800,4940
6853800,11100
6853800,15800
6854000,5.9
6854000,9
6854000,34
6854000,110
6854000,282
6854000,340
6854000,343
6854000,352
6854000,358
6854000,398
6854000,443
6854000,449
6854000,463
6854000,480
6854000,512
6854000,515
6854000,541
6854000,559
6854000,577
6854000,594
6854000,628
6854000,715
6854000,731
6854000,766
6854000,767
6854000,822
6854000,979
6854000,1000
6854000,1220
6854000,1330
6856000,2750
6856000,3010
6856000,3380
6856000,4530
6856000,5000
6856000,5040
6856000,5340
6856000,5540
6856000,5580
6856000,6040
6856000,6200
6856000,6600
6856000,6730
6856000,6900
6856000,6910
6856000,7250
6856000,7440
6856000,7580
6856000,7730
6856000,8000
6856000,8140
6856000,8220
6856000,8480
6856000,9180
6856000,11400
6856000,12200
6856000,14300
6856000,20600
6856000,24600
6856000,28900
6857100,1660
6857100,2100
6857100,2120
6857100,2280
6857100,2490
6857100,2940
6857100,3190
6857100,3280
6857100,3490
6857100,3500
6857100,3740
6857100,4700
6857100,4870
6857100,5080
6857100,5120
6857100,5150
6857100,5370
6857100,5420
6857100,5620
6857100,5810
6857100,6460
6857100,8000
6857100,8390
6857100,9630
6857100,10200
6857100,12600
6857100,13000
6857100,17200
6860000,13
6860000,29
6860000,42
6860000,112
6860000,196
6860000,205
6860000,255
6860000,359
6860000,420
6860000,530
6860000,537
6860000,848
6860000,967
6860000,980
6860000,1060
6860000,1260
6860000,1280
6860000,1710
6860000,2460
6860000,2480
6860000,2690
6860000,2880
6860000,3110
6860000,4510
6860000,6530
6860000,7310
6860000,8240
6860000,13800
6860000,22300
6861000,135
