Station_ID,Peak_Flow
5474500,79800
5474500,96400
5474500,107000
5474500,126000
5474500,129000
5474500,140000
5474500,141000
5474500,143000
5474500,162000
5474500,166000
5474500,178000
5474500,185000
5474500,192000
5474500,192000
5474500,207000
5474500,208000
5474500,214000
5474500,221000
5474500,224000
5474500,224000
5474500,225000
5474500,241000
5474500,252000
5474500,253000
5474500,257000
5474500,260000
5474500,263000
5474500,268000
5474500,290000
5474500,327000
5474500,344000
5495000,13400
5495000,4290
5495000,6480
5495000,5760
5495000,6180
5495000,5370
5495000,2730
5495000,5100
5495000,3330
5495000,5400
5495000,12800
5495000,3150
5495000,4140
5495000,26400
5495000,5630
5495000,3390
5495000,13400
5495000,4430
5495000,8820
5495000,10200
5495000,14700
5495000,12300
5495000,11500
5495000,14800
5495000,6370
5495000,11500
5495000,13200
5495000,9300
5495000,1860
5495000,946
5495000,9040
5495500,15700
5495500,17200
5495500,8030
5495500,5400
5495500,7260
5495500,11400
5495500,5640
5495500,10500
5495500,3980
5495500,15000
5495500,20500
5495500,2000
5495500,2870
5495500,15300
5495500,18800
5495500,5560
5495500,6280
5495500,6840
5495500,10300
5495500,7860
5495500,6410
5495500,17600
5495500,10100
5495500,17500
5495500,9320
5495500,29500
5495500,12000
5495500,20700
5495500,2580
5495500,2780
5495500,22100
5496000,10600
5496000,3530
5496000,4790
5496000,6250
5496000,5520
5496000,5590
5496000,2310
5496000,4760
5496000,2400
5496000,6880
5496000,12100
5496000,2900
5496000,3020
5496000,13000
5496000,8340
5496000,6230
5496000,7620
5496000,9690
5496000,10100
5496000,12400
5496000,6930
5496000,10900
5496000,17300
5496000,8000
5496000,2350
5496000,1550
5496000,6780
5497000,11200
5497000,4670
5497000,7300
5497000,7900
5497000,6530
5497000,7200
5497000,3800
5497000,8400
5497000,3980
5497000,8500
5497000,14400
5497000,6480
5497000,6400
5497000,20700
5497000,10800
5497000,5620
5497000,13800
5497000,3460
5497000,8140
5497000,7910
5497000,10400
5497000,13600
5497000,14200
5497000,14700
5497000,9890
5497000,12500
5497000,14100
5497000,10200
5497000,3740
5497000,576
5497000,8430
5498000,7310
5498000,4350
5498000,4280
5498000,5190
5498000,6000
5498000,7300
5498000,2270
5498000,6160
5498000,2750
5498000,9920
5498000,10300
5498000,3650
5498000,3850
5498000,17700
5498000,7590
5498000,3080
5498000,12500
5498000,2760
5498000,5980
5498000,5110
5498000,8370
5498000,8590
5498000,9020
5498000,11000
5498000,8510
5498000,9140
5498000,9880
5498000,9100
5498000,1910
5498000,1600
5498000,5010
5500000,7850
5500000,8390
5500000,6950
5500000,5340
5500000,4870
5500000,10800
5500000,5140
5500000,10800
5500000,8630
5500000,11800
5500000,18500
5500000,4240
5500000,3480
5500000,16900
5500000,15200
5500000,6920
5500000,4780
5500000,6230
5500000,8200
5500000,5470
5500000,3460
5500000,11400
5500000,10200
5500000,13500
5500000,8720
5500000,17200
5500000,11500
5500000,13400
5500000,4340
5500000,2420
5500000,9880
5501000,5590
5501000,15400
5501000,9980
5501000,6710
5501000,6580
5501000,9620
5501000,6970
5501000,6970
5501000,9320
5501000,9480
5501000,26500
5501000,5410
5501000,2640
5501000,57500
5501000,17900
5501000,16400
5501000,7060
5501000,11400
5501000,12500
5501000,14700
5501000,3830
5501000,23800
5501000,27600
5501000,34500
5501000,13000
5501000,20000
5501000,21800
5501000,18800
5501000,7080
5501000,3350
5501000,29500
5502000,1400
5502000,3970
5502000,1240
5502000,1320
5502000,1170
5502000,1480
5502000,3120
5502000,1490
5502000,1070
5502000,2490
5502000,3120
5502000,770
5502000,403
5502000,1900
5502000,1820
5502000,1950
5502000,1060
5502000,338
5502000,970
5502000,755
5502000,778
5502000,1300
5502000,1100
5502000,805
5502000,796
5502000,931
5502000,1270
5502000,1430
5502000,241
5502000,381
5502000,735
5502020,1740
5502020,6960
5502020,5560
5502020,5280
5502020,5240
5502020,5140
5502020,5070
5502020,6750
5502020,2930
5502020,5660
5502020,8000
5502020,2050
5502020,3330
5502020,9000
5502020,4730
5502020,1990
5502020,1990
5502020,3300
5502020,6500
5502020,9000
5502020,5100
5502020,8240
5502020,6300
5502020,5850
5502020,3200
5502020,3700
5502020,5260
5502020,3230
