StationID,Recurrence_Interval,Flood_Magnitude
5474500,2,203981.481
5474500,5,259947.7989
5474500,10,289053.0972
5474500,25,319977.7825
5474500,50,339893.4744
5474500,100,357765.8559
5495000,2,7201.407794
5495000,5,12152.56183
5495000,10,15405.6676
5495000,25,19409.82246
5495000,50,22300.19557
5495000,100,25108.7079
5495500,2,10034.0734
5495500,5,16591.47881
5495500,10,20734.41627
5495500,25,25722.95608
5495500,50,29268.30396
5495500,100,32678.66177
5496000,2,6549.631449
5496000,5,10248.54353
5496000,10,12519.35334
5496000,25,15208.19223
5496000,50,17095.92538
5496000,100,18897.11937
5497000,2,8655.222586
5497000,5,12555.99157
5497000,10,14808.03839
5497000,25,17375.74177
5497000,50,19127.4343
5497000,100,20766.34038
5498000,2,6366.834635
5498000,5,9632.657737
5498000,10,11587.38415
5498000,25,13866.8517
5498000,50,15449.0194
5498000,100,16947.06431
5500000,2,8267.601993
5500000,5,12418.38478
5500000,10,14985.56133
5500000,25,18038.67387
5500000,50,20189.07472
5500000,100,22245.31972
5501000,2,11289.02894
5501000,5,22102.98851
5501000,10,30273.36332
5501000,25,41067.77542
5501000,50,49230.51575
5501000,100,57391.54667
5502000,2,1109.227911
5502000,5,1916.607442
5502000,10,2494.221541
5502000,25,3237.50078
5502000,50,3790.275284
5502000,100,4337.468181
5502020,2,4828.452348
5502020,5,6692.816854
5502020,10,7745.734948
5502020,25,8929.301832
5502020,50,9727.75394
5502020,100,10468.94432
5502300,2,9849.308319
5502300,5,14724.75456
5502300,10,17489.75378
5502300,25,20606.32437
5502300,50,22713.36173
5502300,100,24672.28534
5502500,2,6606.102023
5502500,5,9780.830495
5502500,10,11631.89407
5502500,25,13755.65411
5502500,50,15211.54032
5502500,100,16578.29523
5503800,2,3209.287348
5503800,5,5817.991
5503800,10,7762.663138
5503800,25,10315.638
5503800,50,12238.58795
5503800,100,14156.66979
5506800,2,7345.539244
5506800,5,16369.65239
5506800,10,23795.62013
5506800,25,33991.36767
5506800,50,41881.38652
5506800,100,49874.72589
5507600,2,6155.84899
5507600,5,8302.91831
5507600,10,9433.747001
5507600,25,10646.10369
5507600,50,11432.84198
5507600,100,12142.88196
5507800,2,10105.48316
5507800,5,23093.23726
5507800,10,40370.55185
5507800,25,68911.08613
5507800,50,93199.96448
5507800,100,119032.6057
5508000,2,24355.14811
5508000,5,44523.74129
5508000,10,59585.40089
5508000,25,79375.20902
5508000,50,94289.18556
5508000,100,109170.0692
5508805,2,10862.68487
5508805,5,14218.44116
5508805,10,15858.14589
5508805,25,17522.27017
5508805,50,18551.80568
5508805,100,19447.8411
5512500,2,5993.027824
5512500,5,9530.99808
5512500,10,11576.27522
5512500,25,13910.17942
5512500,50,15503.41221
5512500,100,16994.73955
5514500,2,23740.60404
5514500,5,42566.00361
5514500,10,56944.36474
5514500,25,76036.88238
5514500,50,90519.74114
5514500,100,105025.9804
5570000,2,13701.96346
5570000,5,20268.00478
5570000,10,24451.78712
5570000,25,29514.01478
5570000,50,33124.27721
5570000,100,36605.00324
5584500,2,9913.176851
5584500,5,18406.35342
5584500,10,24085.62639
5584500,25,31143.05704
5584500,50,36271.0611
5584500,100,41274.74069
5586100,2,71048.69156
5586100,5,93411.11191
5586100,10,106489.8393
5586100,25,121524.283
5586100,50,131846.0965
5586100,100,141545.9925
5587000,2,10833.17006
5587000,5,17140.1479
5587000,10,21118.5244
5587000,25,25904.53224
5587000,50,29303.69848
5587000,100,32572.02389
6813000,2,8460.89999
6813000,5,11542.25285
6813000,10,12999.78829
6813000,25,14442.54112
6813000,50,15315.08612
6813000,100,16061.07593
6819500,2,10149.6559
