StationID,Recurrence_Interval,Flood_Magnitude
6465500,2,4659.44476
6465500,5,11474.80357
6465500,10,25237.86624
6465500,25,51754.73101
6465500,50,75895.82736
6465500,100,102363.2253
6774000,2,8723.09998
6774000,5,13430.89502
6774000,10,16185.69122
6774000,25,19353.45464
6774000,50,21528.81069
6774000,100,23573.45042
6786000,2,1607.456997
6786000,5,3282.983395
6786000,10,4973.636106
6786000,25,7494.648893
6786000,50,9535.636543
6786000,100,11653.88508
6790500,2,4342.24345
6790500,5,8959.734354
6790500,10,13501.60412
6790500,25,20207.96377
6790500,50,25609.71987
6790500,100,31201.26219
6795500,2,1396.58306
6795500,5,3876.950516
6795500,10,6231.815381
6795500,25,9661.14797
6795500,50,12403.27616
6795500,100,15230.98908
6799000,2,4000.040499
6799000,5,11093.53389
6799000,10,17789.30911
6799000,25,27517.99484
6799000,50,35287.69285
6799000,100,43294.78208
6799350,2,9440.736065
6799350,5,22813.254
6799350,10,35898.1118
6799350,25,55179.54873
6799350,50,70693.6267
6799350,100,86743.95556
6800500,2,17795.50167
6800500,5,34002.77968
6800500,10,47193.40439
6800500,25,65217.10747
6800500,50,79125.75851
6800500,100,93194.38897
6803500,2,7823.990861
6803500,5,14849.30117
6803500,10,20274.41571
6803500,25,27514.90969
6803500,50,33024.34849
6803500,100,38552.64022
6805500,2,41574.22371
6805500,5,80417.23983
6805500,10,113608.267
6805500,25,159917.9576
6805500,50,196087.2575
6805500,100,232918.1645
6807000,2,93564.41817
6807000,5,133484.6521
6807000,10,160589.9159
6807000,25,194547.8639
6807000,50,219359.0839
6807000,100,243653.3028
6811500,2,16891.3819
6811500,5,34561.22226
6811500,10,48869.84267
6811500,25,68377.99371
6811500,50,83412.65299
6811500,100,98609.12917
6813500,2,108303.6271
6813500,5,170038.8472
6813500,10,217618.3201
6813500,25,281061.5384
6813500,50,329310.1203
6813500,100,377708.3191
6823500,2,9.810506869
6823500,5,18.48752245
6823500,10,54.41365371
6823500,25,147.2359327
6823500,50,242.1710479
6823500,100,351.374291
6828500,2,357.2261274
6828500,5,1020.081886
6828500,10,1585.739426
6828500,25,2374.533143
6828500,50,2990.411329
6828500,100,3617.446609
